公司代码,公司名,现金占比评分,经营能力评分,获利能力评分,财务结构评分,偿债能力评分
000848,承德露露,9.796875,9.859375,7.17578125,10.0,8.8515625
000850,华茂股份,7.74609375,7.74609375,3.1875,10.0,3.763671875
000851,高鸿股份,7.62890625,8.8671875,1.9716796875,10.0,6.86328125
000852,石化机械,1.1259765625,2.673828125,-1.57421875,8.0,5.3828125
000856,冀东装备,4.26953125,4.4375,-2.52734375,5.0,5.23046875
000858,五 粮 液,7.96875,7.96875,7.65234375,8.609375,10.0
000859,国风塑业,5.58203125,5.58203125,0.2054443359375,9.9765625,8.453125
000860,顺鑫农业,9.21875,9.21875,5.16015625,9.0,4.81640625
000861,海印股份,7.609375,7.609375,6.26171875,10.0,7.83203125
000862,银星能源,2.900390625,2.900390625,-5.30078125,5.0,7.16015625
000863,三湘印象,4.2109375,4.2109375,6.46484375,7.0,5.83203125
000868,安凯客车,7.12109375,7.40625,-5.09375,5.0,6.60546875
000869,张  裕Ａ,8.703125,8.703125,7.2734375,9.671875,7.48046875
000875,吉电股份,3.1875,3.1875,0.904296875,3.9609375,2.4453125
000876,新 希 望,7.4765625,10.0,4.125,10.0,4.1484375
000877,天山股份,4.5078125,4.5078125,0.1119384765625,8.8125,2.72265625
000878,云南铜业,6.67578125,10.0,-0.228271484375,4.66796875,2.587890625
000880,潍柴重机,8.625,8.625,2.009765625,9.8359375,2.912109375
000881,中广核技,7.84375,7.84375,-6.97265625,9.0,6.72265625
000882,华联股份,8.40625,8.40625,4.7890625,10.0,7.0859375
000883,湖北能源,3.59765625,3.59765625,6.05078125,9.75,2.23828125
000885,同力水泥,4.56640625,4.56640625,4.078125,8.7578125,2.26171875
000886,海南高速,8.8984375,8.8984375,-8.609375,8.296875,10.0
000887,中鼎股份,6.140625,8.734375,6.859375,10.0,8.875
000888,峨眉山Ａ,9.796875,9.796875,6.38671875,8.8203125,9.5234375
000889,茂业通信,6.79296875,6.90625,5.2265625,9.40625,7.53515625
000890,法 尔 胜,6.25,6.25,3.140625,8.0,5.7734375
000892,欢瑞世纪,5.7734375,5.5390625,3.52734375,8.1328125,9.640625
000893,东凌国际,1.478515625,2.404296875,-27.28125,6.6328125,7.11328125
000895,双汇发展,9.7578125,10.0,6.609375,9.8671875,7.16796875
000897,津滨发展,8.3984375,8.3984375,-5.43359375,5.0,4.3671875
