公司代码,公司名,公司评分
603123,翠微股份,81.1875
002001,新 和 成,81.125
601231,环旭电子,81.125
002032,苏 泊 尔,81.125
002048,宁波华翔,81.125
600738,兰州民百,81.0625
002678,珠江钢琴,81.0625
000609,绵石投资,81.0
300267,尔康制药,80.9375
000666,经纬纺机,80.9375
002236,大华股份,80.9375
002095,生 意 宝,80.875
600563,法拉电子,80.875
002285,世联行,80.875
600597,光明乳业,80.875
300244,迪安诊断,80.8125
600630,龙头股份,80.8125
300087,荃银高科,80.8125
600827,百联股份,80.8125
600861,北京城乡,80.75
600982,宁波热电,80.75
600676,交运股份,80.6875
601158,重庆水务,80.6875
000004,国农科技,80.6875
600329,中新药业,80.625
600824,益民集团,80.625
600116,三峡水利,80.5625
002082,栋梁新材,80.5625
600791,京能置业,80.5625
300298,三诺生物,80.5
002191,劲嘉股份,80.5
002094,青岛金王,80.5
000156,华数传媒,80.5
000796,凯撒旅游,80.375
600511,国药股份,80.375
600628,新世界,80.3125
600419,天润乳业,80.25
000418,小天鹅Ａ,80.25
002609,捷顺科技,80.1875
000828,东莞控股,80.1875
300286,安科瑞,80.125
002626,金达威,80.125
600833,第一医药,80.0625
601515,东风股份,80.0
600965,福成股份,80.0
600750,江中药业,79.9375
002532,新界泵业,79.875
002275,桂林三金,79.875
600122,宏图高科,79.875
600655,豫园股份,79.875
000548,湖南投资,79.8125
002584,西陇科学,79.8125
000910,大亚圣象,79.8125
002690,美亚光电,79.8125
600518,康美药业,79.75
002627,宜昌交运,79.75
600626,申达股份,79.75
600056,中国医药,79.75
000785,武汉中商,79.6875
002615,哈尔斯,79.6875
000513,丽珠集团,79.6875
002029,七 匹 狼,79.625
002049,紫光国芯,79.5625
600446,金证股份,79.5625
600023,浙能电力,79.5
000860,顺鑫农业,79.5
000997,新 大 陆,79.5
600809,山西汾酒,79.5
600993,马应龙,79.4375
600211,西藏药业,79.4375
300271,华宇软件,79.4375
002495,佳隆股份,79.375
002641,永高股份,79.375
600366,宁波韵升,79.375
600804,鹏博士,79.375
002038,双鹭药业,79.375
300026,红日药业,79.375
000008,神州高铁,79.375
002271,东方雨虹,79.3125
002643,万润股份,79.3125
002223,鱼跃医疗,79.25
600612,老凤祥,79.25
002697,红旗连锁,79.25
002448,中原内配,79.25
300124,汇川技术,79.1875
601313,江南嘉捷,79.1875
600162,香江控股,79.1875
000581,威孚高科,79.1875
002120,韵达股份,79.125
300145,中金环境,79.125
002555,三七互娱,79.0625
600522,中天科技,79.0625
002444,巨星科技,79.0625
300231,银信科技,79.0625
601566,九牧王,79.0625
600616,金枫酒业,79.0625
002287,奇正藏药,79.0625
600682,南京新百,79.0625
600513,联环药业,79.0
601000,唐山港,79.0
603366,日出东方,78.9375
600327,大东方,78.9375
002241,歌尔股份,78.9375
002277,友阿股份,78.875
000036,华联控股,78.875
300240,飞力达,78.875
600785,新华百货,78.875
600278,东方创业,78.875
300294,博雅生物,78.8125
600662,强生控股,78.75
000029,深深房Ａ,78.75
601677,明泰铝业,78.75
601607,上海医药,78.75
000531,穗恒运Ａ,78.6875
002424,贵州百灵,78.6875
600221,海航控股,78.625
000989,九 芝 堂,78.5625
300202,聚龙股份,78.5625
600266,北京城建,78.5625
002635,安洁科技,78.5625
600573,惠泉啤酒,78.5
002008,大族激光,78.4375
002605,姚记扑克,78.375
300204,舒泰神,78.375
600622,光大嘉宝,78.375
300188,美亚柏科,78.375
002533,金杯电工,78.375
002450,康得新,78.375
600380,健康元,78.3125
600843,上工申贝,78.3125
300148,天舟文化,78.3125
000623,吉林敖东,78.3125
002025,航天电器,78.3125
002174,游族网络,78.3125
600562,国睿科技,78.3125
000789,万年青,78.3125
300233,金城医药,78.25
600081,东风科技,78.25
600240,华业资本,78.25
600985,雷鸣科化,78.25
600406,国电南瑞,78.25
002634,棒杰股份,78.25
002581,未名医药,78.1875
002664,长鹰信质,78.1875
300039,上海凯宝,78.1875
002548,金新农,78.125
300315,掌趣科技,78.125
600566,济川药业,78.125
002014,永新股份,78.125
300070,碧水源,78.125
000501,鄂武商Ａ,78.0625
300003,乐普医疗,78.0625
600073,上海梅林,78.0625
600098,广州发展,78.0
600811,东方集团,78.0
002081,金 螳 螂,78.0
300036,超图软件,78.0
002352,顺丰控股,77.9375
002701,奥瑞金,77.9375
300349,金卡智能,77.9375
600803,新奥股份,77.875
300154,瑞凌股份,77.8125
600060,海信电器,77.8125
000705,浙江震元,77.8125
300171,东富龙,77.8125
002279,久其软件,77.8125
600269,赣粤高速,77.75
002439,启明星辰,77.75
002699,美盛文化,77.75
300183,东软载波,77.6875
300251,光线传媒,77.6875
600195,中牧股份,77.625
002107,沃华医药,77.625
300246,宝莱特,77.625
603001,奥康国际,77.5625
002027,分众传媒,77.5625
002398,建研集团,77.5
300054,鼎龙股份,77.5
600261,阳光照明,77.5
002185,华天科技,77.5
300259,新天科技,77.5
300114,中航电测,77.5
600161,天坛生物,77.5
300347,泰格医药,77.5
002559,亚威股份,77.4375
300019,硅宝科技,77.4375
600891,秋林集团,77.4375
002303,美盈森,77.4375
002649,博彦科技,77.4375
002511,中顺洁柔,77.4375
601009,南京银行,77.375
601965,中国汽研,77.375
300031,宝通科技,77.375
002116,中国海诚,77.375
300326,凯利泰,77.3125
300072,三聚环保,77.3125
000919,金陵药业,77.3125
000902,新洋丰,77.25
000651,格力电器,77.25
300327,中颖电子,77.25
000887,中鼎股份,77.25
002139,拓邦股份,77.25
000565,渝三峡Ａ,77.1875
600482,中国动力,77.1875
600642,申能股份,77.1875
600185,格力地产,77.125
300059,东方财富,77.125
002020,京新药业,77.125
002179,中航光电,77.0625
002142,宁波银行,77.0625
300238,冠昊生物,77.0625
300037,新宙邦,77.0625
002063,远光软件,77.0625
000882,华联股份,77.0625
002028,思源电气,77.0625
000985,大庆华科,77.0625
000031,中粮地产,77.0
002553,南方轴承,77.0
600572,康恩贝,77.0
002024,苏宁云商,77.0
600790,轻纺城,77.0
002614,奥佳华,77.0
002397,梦洁股份,77.0
601339,百隆东方,77.0
300341,麦迪电气,76.9375
600362,江西铜业,76.875
000541,佛山照明,76.875
601567,三星医疗,76.875
600352,浙江龙盛,76.8125
002376,新北洋,76.8125
600780,通宝能源,76.8125
002065,东华软件,76.8125
300336,新文化,76.8125
002478,常宝股份,76.8125
002017,东信和平,76.8125
000503,海虹控股,76.8125
000025,特  力Ａ,76.8125
002044,美年健康,76.75
000564,供销大集,76.75
002558,巨人网络,76.75
000521,美菱电器,76.75
601939,建设银行,76.75
300321,同大股份,76.75
000547,航天发展,76.6875
002651,利君股份,76.6875
600648,外高桥,76.6875
