,2013,2014,2015,2016,2017
现金与约当现金(占总资产%),23.20263374395787,24.560837463196293,14.865590355008909,16.771026202858916,13.271165745840428
应收款项(占总资产%),18.54217863681258,16.19344170145391,22.398827293780464,18.349728604158692,19.608447271959577
存货(占总资产%),11.293846367358942,11.332409204391348,12.017106817125283,10.248269451947412,9.856522713220887
流动资产(占总资产%),57.2173098273177,51.2435996267328,51.82389050324526,47.06316393958973,44.95882603519951
非流动资产(占总资产%),42.78269002585603,48.756400240040406,48.1761094300061,52.93683602092436,55.041173928490984
应付款项(占总资产%),3.350948302195236,1.6088289620191591,5.000942830212122,6.117196701455409,7.267564908727718
流动负债(占总资产%),4.790073283932268,9.623082189922329,15.609264658621482,21.477995816526853,23.84291993268651
非流动负债(占总资产%),1.4940123484110492,1.8270545057686562,0.6307797517531968,1.0911025909216299,1.1555320768252162
股东权益(占总资产%),93.71591422083041,88.54986317108222,83.75995552287668,77.43090155306561,75.00154795417876
负债占资产比率(%),6.2840856323433165,11.450136695690986,16.24004441037468,22.569098407448486,24.998452009511723
长期资金占不动产及设备比率(%),569.2733337206346,625.9240455181271,927.4911791798894,1319.5740970475072,1090.2101984367011
流动比率(%),1194.4975511211953,532.5071313529355,332.0072496369074,219.12269773724913,188.56258417031722
速动比率(%),891.1678696300941,396.64094542114447,236.70721391777744,165.72011833526417,142.44933609342115
应收款项周转率(次/年),1.3819024400546192,1.4243536154738197,1.7011697648025266,1.3993417769399383,1.4707141673448618
应收款项周转天数(天),260.51042790017254,252.74622298622378,211.6190904253237,257.26381134312584,244.77903806718746
存货周转率(次/年),1.2344593021205323,1.1820880942310574,1.775474781123973,1.6443300470951645,1.7852338789894846
存货周转天数(天),291.62564886889066,304.54582670639127,202.76266478380447,218.93414848128836,201.654250000032
固定资产周转率(次/年),1.6281924087499562,1.6285654222962818,2.8931679305538807,4.240439033899141,4.087584987322451
完整生意周期(天),552.1360749502717,557.2920481020949,414.38175477833397,476.1979595215215,446.4332878544952
应付款项周转天数(天),64.73562254799124,65.61371327818065,66.54157587054326,114.47461662891212,134.84493297143484
缺钱天数(天),487.40045240228045,491.67833482391427,347.8401789077907,361.72334289260937,311.58835488306033
总资产周转率(次/年),0.23084781954836067,0.24656675654135887,0.34580643913485787,0.27783542736007716,0.27951603332704344
ROA=资产收益率(%),4.300128820008142,3.524075138703121,5.220438520421407,4.191376621977246,4.555267650147793
ROE=净资产收益率(%),4.499482184092115,3.872292760868644,6.115879700524094,5.253449527237134,5.980763420746723
税前纯益占实收资本比率(%),16.631251026843742,14.99273408003633,29.427007973226676,16.022386900277695,22.56002619602216
毛利率(%),46.990512880991744,45.758216511564754,39.47394068555079,35.45601333692511,35.8490325993058
营业利润率(%),20.187097887517734,16.712015587702474,14.798935366856703,14.478958453266305,19.068467679164826
净利率(%),18.627547793122343,14.292580103537944,15.096417869070061,15.085824922750895,16.29698157118821
营业费用率(%),23.729125849234073,26.64258998940564,20.857427906016216,18.055044682071223,18.334944214675225
经营安全边际率(%),13.733605993920069,11.465573596927559,10.610537921360848,10.689048124613132,14.036513410741996
EPS=基本每股收益(元),0.14085909684570452,0.12613341766933292,0.2539256398767987,0.13554839518939651,0.19321939623005716
营收增长率(%),-5.793030741952734,16.70522839734572,120.29074824850034,44.010154025382036,31.952684084094216
净利增长率(%),9.770478616750466,-10.454194285933994,132.68024673520458,43.90910190982024,42.54642681138043
净资本增长率(%),3.9629153434368476,4.132604578962429,88.798164027654,56.27090429911931,5.336169928206232
现金流量比率(%),37.14823608812633,49.48914745816847,55.09315949542537,26.091113554469114,21.497158954856012
现金流量允当比率(%),,12.837876841481153,39.10505116604377,58.25159548051975,57.83082346742708
现金再投资比率(%),1.0978860080158608,4.4283057801826775,9.079287182767077,6.504905559190622,6.100832689032116
